,date,num_days_online,video_duration,music_name,author_num_likes,author_num_followers,num_likes,num_shares,num_plays,num_comments,trend_median_num_plays,trend_median_num_likes,trend,id,novel,entertaining,learn,skill,recognise,repetition,comment,delete,not_sure,novel_1,entertaining_1,learn_1,skill_1,recognise_1,repetition_1,comment_1,creativity,complexity,memorability,creativity_1,complexity_1,memorability_1
6600,2020-03-18 05:41:15,4.771.141.468.287,11,,14100000,856800,20000,40,233100,107,15500.0,1738.0,281.0,6805418939670203649,3,2,2,1,1,1,,,,1,2,2,2,1,1,,5,3,2,4,4,2
6745,2020-03-15 06:39:51,4.261.561.064.236,23,ON (60 sec),51200000,2400000,22800,217,198100,261,32100.0,5435.5,541.0,6804320790268431618,5,5,5,5,4,0,,,,3,4,5,4,4,1,,10,10,4,9,9,5
6810,2020-03-16 07:07:16,4.970.437.295.949,15,,97900000,1300000,34300,73,119000,527,51300.0,7043.0,547.0,6804698918463507717,2,1,2,2,1,0,,,,2,2,3,3,2,1,,3,4,1,5,6,3
6848,2020-03-05 20:45:03,7.965.759.453.009,15,,41100000,911800,6741,53,29200,203,7982.0,391.0,836.0,6800827739742964998,3,4,3,3,4,0,mixed songs = novel?,,,5,5,3,2,4,1,,7,6,4,8,5,5
6881,2020-03-21 21:27:39,7.886.196.172.338,15,Funky Town,144300000,4600000,68300,960,679100,442,1492.0,139.5,137.0,6806776087528492294,4,4,3,2,4,0,"Barely ratable: movements are probably on beat but doesnt show bc of fps, macarena?",,,3,2,2,2,2,1,,8,5,4,4,4,3
7044,2020-03-30 02:04:55,7.474.630.256.713,15,Something New (feat. Ty Dolla $ign),47700,2734,77,0,190,0,10359.0,565.5,205.0,6809816211900157190,2,2,2,2,2,1,barely ratable: 2 people,,,4,3,2,2,2,1,2 people ,4,4,3,5,4,3
7073,2020-03-21 16:45:06,7.561.126.872.222,13,,4841,476,13,0,217,0,51.0,10.0,42.0,6806703273752644869,1,1,1,1,1,0,,,,2,4,2,2,3,1,,2,2,1,6,4,4
7108,2020-03-10 18:20:01,4.307.110.335.995,15,,7400000,215400,27600,388,159100,106,63500.0,7628.0,123.0,6802645790180314373,2,3,2,3,3,1,,,,1,1,3,3,2,1,,5,5,4,4,6,3
7199,2020-03-09 06:06:56,7.966.911.523.843,11,,277400,8413,57,0,778,5,2025.5,311.0,1234.0,6802085793557941506,3,4,3,3,3,0,,,,3,1,4,2,2,0,,7,6,3,5,6,2
7241,2020-02-29 11:41:07,8.125.934.309.954,10,She Gon Go,838400,25500,1921,24,28000,54,4121.5,162.0,538.0,6798832145201679621,1,1,1,1,1,1,,,,2,2,2,1,3,1,,2,2,2,4,3,4
